productidnew_bi_strs,formatcode_bi_txtm,issnnum_en_strs,issnnum_fr_strs
15-203-X,8,1488-8580,1488-8580
15-204-X,12,1492-8612,1492-8612
15-204-X,8,1496-4732,1496-4732
15-206-X,8,1710-5269,1710-5269
15-206-X,17,1710-5269,1710-5269
15-212-X,8,1920-8480,1920-8480
15-212-X,17,1920-8480,1920-8480
15-510-X,12,0-660-53419-3,0-660-53419-3
15-511-X,12,0-660-52891-6,0-660-52891-6
15-512-X,12,0-660-60561-9,0-660-60561-9
15-514-X,12,0-660-16525-2,0-660-16525-2
15-516-M,12,1205-5336,1205-5336
15-546-X,12,0-660-18072-3,0-660-18072-3
15-601-X,12,1188-6293,1188-6293
15F0009X,4,1715-0965,1715-0965
15F0015X,3,1201-7582,1201-7582
15F0017X,12,1201-1002,1201-1002
15F0018X,12,1201-1010,1201-1010
15F0019X,12,1201-1029,1201-1029
15F0022X,12,1201-1037,1201-1037
15F0023X,12,1201-1045,1201-1045
15F0024X,12,1201-1053,1201-1053
15F0025X,12,1201-1061,1201-1061
15F0026X,12,1201-107X,1201-107X
15F0027X,12,1201-1088,1201-1088
15F0028X,12,1201-1096,1201-1096
15F0029X,12,1201-110X,1201-110X
15F0030X,12,1201-1118,1201-1118
15F0031X,12,1201-1126,1201-1126
15F0032X,12,1201-1134,1201-1134
15F0033X,12,1201-1142,1201-1142
15F0034X,12,1201-1150,1201-1150
15F0035X,12,1201-1185,1201-1185
15F0037X,12,1201-1169,1201-1169
15F0038X,12,1201-1177,1201-1177
15F0041X,4,1715-1376,1715-1376
15F0042X,4,1715-1465,1715-1465
15F0046X,4,1715-1473,1715-1473
16-001-M,17,1917-9693,1917-9693
16-001-M,8,1917-9693,1917-9693
16-002-X,8,1913-4320,1913-4320
16-002-X,17,1913-4320,1913-4320
16-200-X,9,1488-979X,1488-979X
16-201-S,8,1923-5224,1923-5224
16-201-S,17,1923-5224,1923-5224
16-201-X,12,1923-6743,1923-6743
16-201-X,17,1923-6751,1923-6751
16-201-X,8,1923-6751,1923-6751
16-251-X,17,1715-9547,1715-9547
16-251-X,8,1715-9547,1715-9547
16-252-X,17,1715-9563,1715-9563
16-252-X,8,1715-9563,1715-9563
16-253-X,17,1715-958X,1715-958X
16-253-X,8,1715-958X,1715-958X
16-254-X,8,1911-6713,1911-6713
16-254-X,17,1911-6713,1911-6713
16-255-X,17,1911-673X,1911-673X
16-255-X,8,1911-673X,1911-673X
16-256-X,17,1911-6756,1911-6756
16-256-X,8,1911-6756,1911-6756
16-257-X,8,1916-3762,1916-3762
16-257-X,17,1916-3762,1916-3762
16-401-X,17,1916-1514,1916-1514
16-401-X,8,1916-1514,1916-1514
16-402-X,17,1918-2910,1918-2910
16-402-X,8,1918-2910,1918-2910
16-403-X,8,1920-6283,1920-6283
16-403-X,17,1920-6283,1920-6283
16-502-X,12,0-660-52856-8,0-660-52856-8
16F0006X,8,1701-6282,1701-6282
16F0006X,17,1701-6282,1701-6282
16F0008X,8,1911-7779,1911-7779
16F0023X,17,1701-5677,1701-5677
16F0023X,8,1701-5677,1701-5677
16F0024X,8,0-662-31370-4,0-662-31370-4
16F0025X,8,0-660-60632-1,0-660-60632-1
17-202-X,12,0840-8491,0840-8491
17-203-X,12,0840-8491,0840-8491
17-204-X,12,0840-8491,0840-8491
17-205-X,12,0840-8491,0840-8491
17-206-X,12,0840-8491,0840-8491
17-507-X,8,1701-543X,1701-543X
21-001-X,12,1206-5064,1206-5064
21-001-X,8,1480-7599,1480-7599
21-004-X,8,1481-899X,1481-899X
21-004-X,12,1195-4302,1195-4302
21-004-X,17,1481-899X,1481-899X
21-005-X,8,1480-9605,1480-9605
21-006-X,8,1481-0964,1481-0964
21-006-X,17,1481-0964,1481-0964
21-006-X,12,1481-0956,1481-0956
21-007-X,8,1496-2284,1496-2284
21-007-X,17,1496-2284,1496-2284
21-010-X,17,1705-0944,1705-0944
21-010-X,8,1705-0944,1705-0944
21-011-X,17,1705-0782,1705-0782
21-011-X,8,1705-0782,1705-0782
21-012-X,17,1705-0928,1705-0928
21-012-X,8,1705-0928,1705-0928
21-013-X,17,1705-0987,1705-0987
21-013-X,8,1705-0987,1705-0987
21-014-X,17,1705-0901,1705-0901
21-014-X,8,1705-0901,1705-0901
21-015-X,8,1705-088X,1705-088X
