extras_productidnew_bi_strs,issnnum_en_bi_strs,issnnum_fr_bi_strs
55-002-X,1488-4755,1488-4755
55-201-X,1481-4226,1481-4226
95M0015X,0-660-60584-8,0-660-60584-8
51-205-X,0705-4343,0705-4343
51-206-X,0826-6026,0826-6026
51-207-X,1480-8765,1480-8765
56-001-X,1492-4455,1492-4455
56-002-X,1488-8025,1488-8025
21-007-X,1496-2284,1496-2284
21-010-X,1705-0944,1705-0944
23-501-X,0-662-33380-2,0-662-33380-2
25-001-X,1481-4560,1481-4560
25-001-X,0575-9536,0575-9536
25-201-X,1492-1014,1492-1014
32-026-X,0227-1761,0227-1761
32-233-X,1180-5900,1180-5900
32-235-X,1180-5927,1180-5927
32-236-X,1180-5935,1180-5935
32-238-X,1180-5951,1180-5951
89M0018X,0-660-60596-1,0-660-60596-1
21-011-X,1705-0782,1705-0782
21F0008X,1481-8213,1481-8213
51-209-X,1916-3509,1916-3509
51-210-X,1916-3525,1916-3525
25-202-X,0575-805X,0575-805X
67-509-X,0-660-52245-4,0-660-52245-4
67-510-X,0-660-52885-1,0-660-52885-1
68-202-X,0575-8254,0575-8254
71-001-X,0380-6804,0380-6804
71-005-X,1206-6400,1206-6400
71-206-X,0835-8478,0835-8478
71-207-X,0835-8486,0835-8486
71-211-X,1710-3754,1710-3754
51-502-X,0-662-37087-2,0-662-37087-2
51F0001P,1704-1937,1704-1937
51F0010P,1705-5628,1705-5628
51F0010P,1705-5628,1705-5628
93F0031X,0-660-59285-1,0-660-59285-1
95-335-X,0-660-57358-X,0-660-57358-X
95-194-X,0-660-59329-7,0-660-59329-7
95-205-X,0-660-59340-8,0-660-59340-8
95-372-X,0-660-57299-0,0-660-57299-0
93-321-X,0-660-57132-3,0-660-57132-3
95-312-X,0-660-57185-4,0-660-57185-4
95-313-X,0-660-57186-2,0-660-57186-2
95-314-X,0-660-57187-0,0-660-57187-0
95F0254X,0-660-59300-9,0-660-59300-9
95F0258X,0-660-59304-1,0-660-59304-1
95-374-X,0-660-57247-8,0-660-57247-8
95-380-X,0-660-57253-2,0-660-57253-2
93-322-X,0-660-57133-1,0-660-57133-1
95F0265X,0-660-59311-4,0-660-59311-4
93-305-X,0-660-57116-1,0-660-57116-1
93-306-X,0-660-57117-X,0-660-57117-X
95-301-X,0-660-57174-9,0-660-57174-9
93-307-X,0-660-57118-8,0-660-57118-8
94F0005X,0-660-59294-0,0-660-59294-0
93-315-X,0-660-57126-9,0-660-57126-9
95-208-X,0-660-59343-2,0-660-59343-2
92F0194G,1710-2685,1710-2685
94F0010X,0-660-59314-9,0-660-59314-9
93-324-X,0-660-57135-8,0-660-57135-8
95-317-X,0-660-57190-0,0-660-57190-0
95F0268X,0-660-59350-5,0-660-59350-5
95-303-X,0-660-57176-5,0-660-57176-5
95-304-X,0-660-57177-3,0-660-57177-3
93-308-X,0-660-57119-6,0-660-57119-6
93-309-X,0-660-57120-X,0-660-57120-X
95-386-X,0-660-57259-1,0-660-57259-1
93-310-X,0-660-57121-8,0-660-57121-8
93-316-X,0-660-57127-7,0-660-57127-7
93-317-X,0-660-57128-5,0-660-57128-5
94-326-X,0-660-57173-0,0-660-57173-0
95-350-X,0-660-57223-0,0-660-57223-0
43-250-X,0835-0159,0835-0159
44-003-X,0380-7223,0380-7223
93-339-X,0-660-57148-X,0-660-57148-X
93-357-X,0-660-59283-5,0-660-59283-5
95-319-X,0-660-57192-7,0-660-57192-7
95-354-X,0-660-57227-3,0-660-57227-3
71-584-M,1499-0318,1499-0318
95-308-X,0-660-57292-3,0-660-57292-3
95-308-X,0-660-57181-1,0-660-57181-1
96-315-X,0-13-150905-5,0-13-150905-5
96-316-X,0-13-150871-7,0-13-150871-7
96-318-X,0-13-310368-4,0-13-310368-4
93-311-X,0-660-57288-5,0-660-57288-5
99-136-X,0-660-13353-9,0-660-13353-9
16-255-X,1911-673X,1911-673X
95-322-X,0-660-57195-1,0-660-57195-1
95-183-X,0-660-59318-1,0-660-59318-1
95-187-X,0-660-59322-X,0-660-59322-X
95-358-X,0-660-57231-1,0-660-57231-1
45-004-X,1715-1481,1715-1481
45-250-X,1701-1752,1701-1752
46-250-X,1481-9848,1481-9848
47-005-X,0706-2664,0706-2664
47-007-X,1481-5281,1481-5281
95-323-X,0-660-57196-X,0-660-57196-X
95-361-X,0-660-57234-6,0-660-57234-6
95-368-X,0-660-57241-9,0-660-57241-9
96-320-X,0-13-310640-3,0-13-310640-3
95-309-X,0-660-57182-X,0-660-57182-X
95-310-X,0-660-57183-8,0-660-57183-8
93-301-X,0-660-57277-X,0-660-57277-X
96-325-X,0-662-35659-4,0-662-35659-4
16-256-X,1911-6756,1911-6756
93-303-X,0-660-57279-6,0-660-57279-6
93-304-X,0-660-57115-3,0-660-57115-3
93-312-X,0-660-57123-4,0-660-57123-4
93-313-X,0-660-57124-2,0-660-57124-2
16-401-X,1916-1514,1916-1514
16-402-X,1918-2910,1918-2910
16-502-X,0-660-52856-8,0-660-52856-8
87-403-X,1488-3082,1488-3082
87-523-X,0-660-52246-2,0-660-52246-2
87-524-X,0706-2621,0706-2621
64-209-X,0835-1082,0835-1082
65-001-X,1198-7391,1198-7391
72-005-X,0318-9007,0318-9007
72-007-X,0825-9224,0825-9224
96-303-X,0-660-14306-2,0-660-14306-2
